Date,Code,Open,High,Low,Close,Volume,TurnoverValue,AdjustmentFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2025-06-04,72030,2730,2735,2700,2724.5,25102600,68336718650,1,2730,2735,2700,2724.5,25102600
2025-06-05,72030,2685,2694.5,2640,2650.5,24997400,66528830000,1,2685,2694.5,2640,2650.5,24997400
2025-06-06,72030,2630.5,2664,2630,2652,18571200,49234874500,1,2630.5,2664,2630,2652,18571200
2025-06-09,72030,2670,2672,2637,2640,13584200,35993475850,1,2670,2672,2637,2640,13584200
2025-06-10,72030,2653,2663.5,2640,2657.5,19556800,51889702750,1,2653,2663.5,2640,2657.5,19556800
2025-06-11,72030,2670,2678,2652,2656,16367500,43552018150,1,2670,2678,2652,2656,16367500
2025-06-12,72030,2645,2648,2608,2616.5,22784400,59688417250,1,2645,2648,2608,2616.5,22784400
2025-06-13,72030,2586,2589,2539,2555,36054800,92301678750,1,2586,2589,2539,2555,36054800
2025-06-16,72030,2580.5,2586,2554,2554.5,19281900,49415057350,1,2580.5,2586,2554,2554.5,19281900
2025-06-17,72030,2535,2551,2530.5,2538,18263000,46390497350,1,2535,2551,2530.5,2538,18263000
2025-06-18,72030,2525,2575,2520.5,2569,18221700,46591582750,1,2525,2575,2520.5,2569,18221700
2025-06-19,72030,2556,2564.5,2522,2525.5,16444700,41638555350,1,2556,2564.5,2522,2525.5,16444700
2025-06-20,72030,2511,2541.5,2502.5,2502.5,80814500,202647183650,1,2511,2541.5,2502.5,2502.5,80814500
2025-06-23,72030,2500,2500.5,2464,2493.5,18469900,45911134950,1,2500,2500.5,2464,2493.5,18469900
2025-06-24,72030,2528.5,2535.5,2475,2490,20203700,50570265050,1,2528.5,2535.5,2475,2490,20203700
2025-06-25,72030,2504,2506,2445,2460.5,22587200,55657080850,1,2504,2506,2445,2460.5,22587200
2025-06-26,72030,2441,2462,2434,2456.5,27545800,67473164350,1,2441,2462,2434,2456.5,27545800
2025-06-27,72030,2499,2551.5,2486.5,2527,33017800,83514801250,1,2499,2551.5,2486.5,2527,33017800
2025-06-30,72030,2535,2538,2490,2493,29284500,73472080850,1,2535,2538,2490,2493,29284500
2025-07-01,72030,2490,2493,2447.5,2453,24298200,59762728750,1,2490,2493,2447.5,2453,24298200
2025-07-02,72030,2450,2480.5,2443,2465.5,24281200,59753640700,1,2450,2480.5,2443,2465.5,24281200
2025-07-03,72030,2465.5,2540,2448.5,2511.5,34098600,85457962100,1,2465.5,2540,2448.5,2511.5,34098600
2025-07-04,72030,2524,2529.5,2479,2484.5,19876900,49579723800,1,2524,2529.5,2479,2484.5,19876900
2025-07-07,72030,2500,2502,2442,2453.5,20788700,51132799250,1,2500,2502,2442,2453.5,20788700
2025-07-08,72030,2456,2486,2451.5,2465,32336400,79770483350,1,2456,2486,2451.5,2465,32336400
2025-07-09,72030,2499,2533.5,2478.5,2487.5,31320400,78192124150,1,2499,2533.5,2478.5,2487.5,31320400
2025-07-10,72030,2479,2482.5,2463,2473.5,26257000,64916612700,1,2479,2482.5,2463,2473.5,26257000
2025-07-11,72030,2501.5,2524.5,2477,2508,25922800,64938273650,1,2501.5,2524.5,2477,2508,25922800
